S.No.,ACCESSION NO.,ORGANISM NAME,VRL,SPECIES,LENGTH,GEO LOCATION,HOST,COLLECTION DATE
37,XBC17279,Orthohantavirus hantanense,29-05-2024,Orthohantavirus hantanense,429,South Korea: Boseong-gun,Apodemus agrarius,2019-10
38,XBC17280,Orthohantavirus hantanense,29-05-2024,Orthohantavirus hantanense,429,South Korea: Boseong-gun,Apodemus agrarius,2019-10
39,XBC17281,Orthohantavirus hantanense,29-05-2024,Orthohantavirus hantanense,429,South Korea: Boseong-gun,Apodemus agrarius,2019-11
40,XBC17282,Orthohantavirus hantanense,29-05-2024,Orthohantavirus hantanense,429,South Korea: Boseong-gun,Apodemus agrarius,2019-11
41,XBC17283,Orthohantavirus hantanense,29-05-2024,Orthohantavirus hantanense,429,South Korea,Homo sapiens,2020-01
42,XBC17284,Orthohantavirus hantanense,29-05-2024,Orthohantavirus hantanense,429,South Korea,Homo sapiens,2020-06
43,XBC17285,Orthohantavirus hantanense,29-05-2024,Orthohantavirus hantanense,429,South Korea,Homo sapiens,2021-11
44,XBC17287,Orthohantavirus hantanense,29-05-2024,Orthohantavirus hantanense,429,South Korea: Gwangju-si,Apodemus agrarius,2017-11
45,XBC17290,Orthohantavirus hantanense,29-05-2024,Orthohantavirus hantanense,429,South Korea,Homo sapiens,2017-11
46,XBC17293,Orthohantavirus hantanense,29-05-2024,Orthohantavirus hantanense,429,South Korea,Homo sapiens,2018-07
47,WZH56199,Orthohantavirus andesense,30-04-2024,Orthohantavirus andesense,428,Argentina,,1998
48,WLR80812,Orthohantavirus seoulense,17-04-2024,Orthohantavirus seoulense,429,France: Lyon,Rattus norvegicus,2021
49,WLR80813,Orthohantavirus seoulense,17-04-2024,Orthohantavirus seoulense,429,France: Lyon,Rattus norvegicus,2021
50,WLR80814,Orthohantavirus seoulense,17-04-2024,Orthohantavirus seoulense,429,France: Lyon,Rattus norvegicus,2021
51,WLR80815,Orthohantavirus seoulense,17-04-2024,Orthohantavirus seoulense,429,France: Lyon,Rattus norvegicus,2021
52,WLR80816,Orthohantavirus seoulense,17-04-2024,Orthohantavirus seoulense,429,France: Lyon,Rattus norvegicus,2021
53,WLR80817,Orthohantavirus seoulense,17-04-2024,Orthohantavirus seoulense,429,France: Lyon,Rattus norvegicus,2021
54,WLR80818,Orthohantavirus seoulense,17-04-2024,Orthohantavirus seoulense,429,France: Lyon,Rattus norvegicus,2021
55,WRT25929,Orthohantavirus puumalaense,15-04-2024,Orthohantavirus puumalaense,433,Sweden,Homo sapiens,2023-03
56,WRT25933,Orthohantavirus puumalaense,15-04-2024,Orthohantavirus puumalaense,433,Sweden,Myodes glareolus,2016-07
57,WRT25937,Orthohantavirus puumalaense,15-04-2024,Orthohantavirus puumalaense,433,Sweden,Homo sapiens,2022-11
58,WRT25941,Orthohantavirus puumalaense,15-04-2024,Orthohantavirus puumalaense,433,Sweden,Homo sapiens,2022-06
59,WRT25945,Orthohantavirus puumalaense,15-04-2024,Orthohantavirus puumalaense,433,Sweden,Myodes glareolus,2016-07
60,WWQ85472,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2018
61,WWQ85473,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2017
62,WWQ85474,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2018
63,WWQ85475,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2018
64,WWQ85476,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2018
65,WWQ85477,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2014
66,WWQ85478,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2017
67,WWQ85479,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2017
68,WWQ85480,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2017
69,WWQ85481,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2017
70,WWQ85482,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
71,WWQ85483,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
72,WWQ85484,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2017
73,WWQ85485,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2017
74,WWQ85486,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2017
75,WWQ85487,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
76,WWQ85488,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2018
77,WWQ85489,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2018
78,WWQ85490,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2018
79,WWQ85491,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2018
80,WWQ85492,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
81,WWQ85493,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2018
82,WWQ85494,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2018
83,WWQ85495,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2018
84,WWQ85496,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2018
85,WWQ85497,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2018
86,WWQ85498,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
87,WWQ85499,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
88,WWQ85500,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
89,WWQ85501,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
90,WWQ85502,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
91,WWQ85503,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2014
92,WWQ85504,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2014
93,WWQ85505,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2014
94,WWQ85506,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2017
95,WWQ85507,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2016
96,WWQ85508,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
97,WWQ85509,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2018
98,WWQ85510,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2018
99,WWQ85511,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
100,WWQ85512,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
101,WWQ85513,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2017
102,WWQ85514,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
103,WWQ85515,Orthohantavirus tulaense,28-03-2024,Orthohantavirus tulaense,430,Germany,Microtus arvalis,2017
104,WWS34629,Ozark orthohantavirus,11-03-2024,Ozark orthohantavirus,428,"USA: Benton County, AR",Sigmodon hispidus,10-10-2020
105,WWS34637,Ozark orthohantavirus,11-03-2024,Ozark orthohantavirus,428,"USA: Benton County, AR",Sigmodon hispidus,10-10-2020
106,WWS34642,Ozark orthohantavirus,11-03-2024,Ozark orthohantavirus,428,"USA: Benton County, AR",Sigmodon hispidus,02-06-2020
107,WWS34672,Ozark orthohantavirus,11-03-2024,Ozark orthohantavirus,428,"USA: Benton County, AR",Sigmodon hispidus,11-10-2020
108,WWQ34319,Orthohantavirus puumalaense,06-03-2024,Orthohantavirus puumalaense,433,Russia,Myodes glareolus,18-06-2019
109,WWQ34320,Orthohantavirus puumalaense,06-03-2024,Orthohantavirus puumalaense,433,Russia,Myodes glareolus,18-06-2019
110,BEV25213,Hokkaido virus,02-02-2024,Hokkaido virus,433,Japan,Myodes rufocanus bedfordiae,26-08-2022
111,BEV25214,Hokkaido virus,02-02-2024,Hokkaido virus,433,Japan,Apodemus speciosus,26-08-2022
112,BEV25215,Hokkaido virus,02-02-2024,Hokkaido virus,433,Japan,Myodes rufocanus bedfordiae,26-08-2022
113,BEV25216,Hokkaido virus,02-02-2024,Hokkaido virus,433,Japan,Myodes rufocanus bedfordiae,26-08-2022
114,BEV25217,Hokkaido virus,02-02-2024,Hokkaido virus,433,Japan,Myodes rufocanus bedfordiae,26-08-2022
115,WVE62553,Orthohantavirus puumalaense,02-02-2024,Orthohantavirus puumalaense,433,Russia: the Republic of Tatarstan,Myodes glareolus,2023
116,WOX62588,Orthohantavirus hantanense,19-01-2024,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,16-11-2017
117,WOX62589,Orthohantavirus hantanense,19-01-2024,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,16-11-2017
118,WOX62590,Orthohantavirus hantanense,19-01-2024,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,10-05-2018
119,WOX62591,Orthohantavirus hantanense,19-01-2024,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,10-05-2018
120,WOX62592,Orthohantavirus hantanense,19-01-2024,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,04-12-2018
121,WOX62593,Orthohantavirus hantanense,19-01-2024,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,04-12-2018
122,WOX62594,Orthohantavirus hantanense,19-01-2024,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,04-12-2018
123,WRI02201,Orthohantavirus hantanense,08-01-2024,Orthohantavirus hantanense,429,China,Apodemus agrarius,25-10-2021
124,WRI02202,Orthohantavirus seoulense,08-01-2024,Orthohantavirus seoulense,429,China,Rattus norvegicus,27-04-2021
125,WRI02205,Orthohantavirus hantanense,08-01-2024,Orthohantavirus hantanense,429,China,Apodemus agrarius,21-04-2021
126,WRI02206,Orthohantavirus hantanense,08-01-2024,Orthohantavirus hantanense,429,China,Apodemus agrarius,21-04-2021
127,WRI02207,Orthohantavirus hantanense,08-01-2024,Orthohantavirus hantanense,429,China,Apodemus agrarius,21-04-2021
128,WRI02208,Orthohantavirus hantanense,08-01-2024,Orthohantavirus hantanense,429,China,Apodemus agrarius,25-10-2021
129,WQY90938,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,13-01-2023
130,WQY90939,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,16-12-2022
131,WQY90940,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,16-12-2022
132,WQY90941,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,16-12-2022
133,WQY90942,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,16-12-2022
134,WQY90943,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,16-12-2022
135,WQY90944,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,20-12-2022
136,WQY90945,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,13-01-2023
137,WQY90946,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,18-01-2023
138,WQY90947,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,18-01-2023
139,WQY90948,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,16-01-2023
140,WQY90949,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,18-01-2023
141,WQY90950,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,18-01-2023
142,WQY90951,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,16-01-2023
143,WQY90952,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,13-01-2023
144,WQY90953,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,12-01-2023
145,WQY90954,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,13-01-2023
146,WQY90955,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,12-01-2023
147,WQY90956,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,16-12-2022
148,WQY90957,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,21-12-2022
149,WQY90958,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,23-12-2022
150,WQY90959,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,23-12-2022
151,WQY90960,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,23-12-2022
152,WQY90961,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,23-12-2022
153,WQY90962,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,23-12-2022
154,WQY90963,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,23-12-2022
155,WQY90964,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,25-01-2023
156,WQY90965,Orthohantavirus puumalaense,02-01-2024,Orthohantavirus puumalaense,433,Russia: Saratov,Myodes glareolus,22-12-2022
157,CAK1382042,Seewis virus,20-12-2023,Seewis orhtohantavirus,429,,,
158,WPS68784,Orthohantavirus chocloense,11-12-2023,Orthohantavirus chocloense,428,"Panama: Los Santos, Tonosi, El Bebedero",Oligoryzomys costaricensis,30-01-2003
159,WOW72513,Orthohantavirus hantanense,08-11-2023,Orthohantavirus hantanense,429,Russia,Apodemus agrarius,02-08-2010
160,WES12423,Orthohantavirus sinnombreense,30-10-2023,Orthohantavirus sinnombreense,428,USA,Homo sapiens,2020
161,WES12424,Orthohantavirus sinnombreense,30-10-2023,Orthohantavirus sinnombreense,428,USA,Homo sapiens,2020
162,WES12425,Orthohantavirus sinnombreense,30-10-2023,Orthohantavirus sinnombreense,428,USA,Homo sapiens,2020
163,WES12426,Orthohantavirus sinnombreense,30-10-2023,Orthohantavirus sinnombreense,428,USA,Homo sapiens,2020
164,WES12427,Orthohantavirus sinnombreense,30-10-2023,Orthohantavirus sinnombreense,428,USA,Homo sapiens,2020
165,WES12428,Orthohantavirus sinnombreense,30-10-2023,Orthohantavirus sinnombreense,428,USA,Homo sapiens,2020
166,WES12429,Orthohantavirus sinnombreense,30-10-2023,Orthohantavirus sinnombreense,428,USA,Homo sapiens,2020
167,WNV26831,Orthohantavirus andesense,10-10-2023,Orthohantavirus andesense,428,,,
168,WNV26832,Orthohantavirus andesense,10-10-2023,Orthohantavirus andesense,428,Argentina,,
169,WNV26833,Orthohantavirus andesense,10-10-2023,Orthohantavirus andesense,428,Argentina,,
170,WNV26834,Orthohantavirus andesense,10-10-2023,Orthohantavirus andesense,428,Argentina,,
171,WNV26835,Orthohantavirus andesense,10-10-2023,Orthohantavirus andesense,428,Argentina,Oligoryzomys longicaudatus,
172,WNV26840,Orthohantavirus andesense,10-10-2023,Orthohantavirus andesense,428,Argentina,Mesocricetus auratus,
173,WNV26842,Orthohantavirus andesense,10-10-2023,Orthohantavirus andesense,428,Argentina,Homo sapiens,
174,WNR62044,Juquitiba virus,07-10-2023,Juquitiba virus,428,Paraguay,Oligoryzomys nigripes,25-02-2019
175,WNR62045,Juquitiba virus,07-10-2023,Juquitiba virus,428,Paraguay,Oligoryzomys nigripes,26-02-2019
176,WNR62054,Juquitiba virus,07-10-2023,Juquitiba virus,428,Paraguay,Oligoryzomys nigripes,07-02-2017
177,WNR62055,Juquitiba virus,07-10-2023,Juquitiba virus,428,Paraguay,Oligoryzomys nigripes,07-02-2016
178,WNR62057,Juquitiba virus,07-10-2023,Juquitiba virus,428,Paraguay,Oligoryzomys nigripes,11-02-2016
179,WNR62059,Juquitiba virus,07-10-2023,Juquitiba virus,428,Paraguay,Oligoryzomys nigripes,07-02-2016
180,WNR62061,Juquitiba virus,07-10-2023,Juquitiba virus,428,Paraguay,Oligoryzomys nigripes,10-02-2016
181,WNR62062,Juquitiba virus,07-10-2023,Juquitiba virus,428,Paraguay,Oligoryzomys nigripes,19-02-2016
182,WNR62067,Juquitiba virus,07-10-2023,Juquitiba virus,428,Paraguay,Oligoryzomys nigripes,14-02-2017
183,WNR62068,Juquitiba virus,07-10-2023,Juquitiba virus,428,Paraguay,Oligoryzomys nigripes,07-02-2017
184,WNR62070,Juquitiba virus,07-10-2023,Juquitiba virus,428,Paraguay,Oligoryzomys nigripes,26-02-2017
185,WNM89959,Orthohantavirus andesense,02-10-2023,Orthohantavirus andesense,428,Switzerland,Homo sapiens,2022
186,WNM89964,Orthohantavirus andesense,02-10-2023,Orthohantavirus andesense,428,Switzerland,Homo sapiens,2016
187,WMY23463,Orthohantavirus hantanense,17-09-2023,Orthohantavirus hantanense,429,China,Apodemus agrarius,2019
188,WMY23464,Orthohantavirus hantanense,17-09-2023,Orthohantavirus hantanense,429,China,Homo sapiens,2020
189,WMY23465,Orthohantavirus hantanense,17-09-2023,Orthohantavirus hantanense,429,China,Rattus tanezumi,2021
190,WMY23466,Orthohantavirus hantanense,17-09-2023,Orthohantavirus hantanense,429,China,Apodemus agrarius,2019
191,WMY23468,Orthohantavirus hantanense,17-09-2023,Orthohantavirus hantanense,429,China,Apodemus agrarius,2019
192,WMY23469,Orthohantavirus hantanense,17-09-2023,Orthohantavirus hantanense,429,China,Homo sapiens,2020
193,WMY23470,Orthohantavirus hantanense,17-09-2023,Orthohantavirus hantanense,429,China,Homo sapiens,2020
194,WMY23471,Orthohantavirus hantanense,17-09-2023,Orthohantavirus hantanense,429,China,Apodemus agrarius,2019
195,WMY23472,Orthohantavirus hantanense,17-09-2023,Orthohantavirus hantanense,429,China,Apodemus agrarius,2021
196,WMY23474,Orthohantavirus hantanense,17-09-2023,Orthohantavirus hantanense,429,China,Apodemus agrarius,2021
197,WMY23475,Dabieshan virus,17-09-2023,Orthohantavirus dabieshanense,429,China,Niviventer lotipes,2019
198,WMY23476,Orthohantavirus seoulense,17-09-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2021
199,WMY23477,Orthohantavirus seoulense,17-09-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2021
200,WKW35568,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,1993
201,WKW35569,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,1993
202,WKW35570,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,,1993
203,WKW35571,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,1993
204,WKW35572,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,1993
205,WKW35573,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,1993
206,WKW35574,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2002
207,WKW35575,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2002
208,WKW35576,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2017
209,WKW35577,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2018
210,WKW35578,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2017
211,WKW35579,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2017
212,WKW35580,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2017
213,WKW35581,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2017
214,WKW35582,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2017
215,WKW35583,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2019
216,WKW35584,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2021
217,WKW35585,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2002
218,WKW35586,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2002
219,WKW35587,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2021
220,WKW35588,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2002
221,WKW35589,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,1999
222,WKW35590,Orthohantavirus seoulense,31-07-2023,Orthohantavirus seoulense,429,China,Rattus norvegicus,2005
